game_index,decision_index,elapsed_ms,eligible,search_begin_ok,visits
6,24,707.4228,1,1,77
6,25,0.9805,0,0,0
6,26,701.3714,1,1,78
6,27,1.0198,0,0,0
6,28,1.2015,0,0,0
6,29,1.0781,0,0,0
6,30,0.8533,0,0,0
6,31,0.9456,0,0,0
6,32,0.8817,0,0,0
6,33,0.8050,0,0,0
6,34,706.7015,1,1,84
6,35,703.6275,1,1,99
6,36,1.0601,0,0,0
6,37,1.4248,0,0,0
6,38,703.3499,1,1,110
6,39,706.9197,1,1,112
6,40,706.2820,1,1,117
6,41,1.3026,0,0,0
6,42,0.9421,0,0,0
6,43,0.8927,0,0,0
6,44,0.9308,0,0,0
6,45,1.0306,0,0,0
6,46,0.8590,0,0,0
6,47,0.9255,0,0,0
7,0,0.2313,0,0,0
7,1,0.7352,0,0,0
7,2,709.4852,1,1,114
7,3,703.0653,1,1,84
7,4,704.9140,1,1,79
7,5,708.2477,1,1,75
7,6,702.6171,1,1,66
7,7,704.7495,1,1,68
7,8,705.2162,1,1,67
7,9,1.4394,0,0,0
7,10,1.1051,0,0,0
7,11,1.0401,0,0,0
7,12,711.0252,1,1,66
7,13,706.4642,1,1,68
7,14,705.8080,1,1,67
7,15,709.0160,1,1,68
7,16,708.0560,1,1,68
7,17,1.1119,0,0,0
7,18,0.8842,0,0,0
7,19,703.0580,1,1,66
7,20,707.9470,1,1,66
7,21,706.0056,1,1,66
7,22,708.8522,1,1,66
7,23,1.1787,0,0,0
7,24,707.3883,1,1,64
7,25,710.0005,1,1,63
7,26,708.0564,1,1,63
7,27,704.7082,1,1,61
7,28,702.1559,1,1,62
7,29,703.4497,1,1,62
7,30,1.2584,0,0,0
7,31,1.2024,0,0,0
7,32,707.4816,1,1,63
7,33,1.0808,0,0,0
7,34,712.0540,1,1,63
7,35,1.0473,0,0,0
7,36,705.0147,1,1,59
7,37,1.5015,0,0,0
7,38,712.7490,1,1,62
7,39,707.2226,1,1,60
7,40,1.0628,0,0,0
7,41,710.9740,1,1,57
7,42,706.5116,1,1,62
7,43,710.0204,1,1,63
7,44,708.5730,1,1,63
7,45,706.0454,1,1,63
7,46,1.0741,0,0,0
7,47,702.4692,1,1,63
7,48,704.0337,1,1,63
7,49,1.1435,0,0,0
7,50,1.0702,0,0,0
7,51,1.3626,0,0,0
7,52,1.2628,0,0,0
7,53,1.1477,0,0,0
7,54,1.0319,0,0,0
7,55,1.1241,0,0,0
7,56,705.0101,1,1,99
7,57,1.3257,0,0,0
7,58,1.2183,0,0,0
7,59,701.6897,1,1,155
7,60,706.7126,1,1,159
7,61,1.1816,0,0,0
7,62,703.6335,1,1,168
7,63,703.3255,1,1,172
7,64,1.3038,0,0,0
7,65,706.1643,1,1,132
7,66,1.2521,0,0,0
7,67,1.3736,0,0,0
7,68,703.1552,1,1,136
7,69,1.3981,0,0,0
