game_number,game_id,episode_type,is_self_play_validation,timestamp,end_timestamp,result,reward,our_rating_before,our_rating_after,opponent_name,opponent_submission_id,opponent_team_id,opponent_rating,opponent_deck_hash,opponent_deck_ncards,opponent_deck_source,opponent_archetype,opponent_archetype_matched_cards,opponent_headline_signature,opponent_matchup_key,going_first,first_player_index,our_index,turns_ours,turns_opp,turns,steps,decision_count,invalid_actions,timeouts,near_decision_budget_calls_ge_1.8s,calls_ge_1.0s,errors_stderr_nonempty,stdout_nonempty_calls,fallback_count,safety_interventions,decision_duration_mean_s,decision_duration_median_s,decision_duration_max_s,decision_duration_p95_s,decision_duration_p99_s
35,92095110,EPISODE_TYPE_PUBLIC,False,2026-08-11T20:53:50.652Z,2026-08-11T20:54:33.446Z,WIN,1,,,Shigeki,53908315,16404994,,59138a345c6b933a,60,action,Dragapult ex,3,"Dragapult ex, Fezandipiti ex, Latias ex, Meowth ex",Dragapult ex,True,0,0,13,12,14,158,93,NA,NA,0,0,0,0,NA,NA,0.0040033870967741934,0.001392,0.157493,0.00174,0.088378
36,92095243,EPISODE_TYPE_PUBLIC,False,2026-08-11T20:53:50.874Z,2026-08-11T20:54:26.488Z,WIN,1,,,rurumi,55422059,16475408,,86d4b91ac9dd7b23,60,action,UNLABELED,0,Archaludon ex,UNLABELED[Archaludon ex],True,0,0,9,8,10,136,90,NA,NA,0,0,0,0,NA,NA,0.0037879111111111113,0.001154,0.121828,0.001666,0.113855
37,92096868,EPISODE_TYPE_PUBLIC,False,2026-08-11T21:06:06.821Z,2026-08-11T21:06:39.925Z,WIN,1,,,Bửu Phạm Quốc,55441398,16696848,,dc2ce39b94cbbb38,60,action,Marnie's Grimmsnarl ex,3,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,False,0,1,12,11,13,167,106,NA,NA,0,0,0,0,NA,NA,0.0018506603773584904,0.0008125,0.106912,0.001199,0.001283
38,92098917,EPISODE_TYPE_PUBLIC,False,2026-08-11T21:14:06.411Z,2026-08-11T21:14:44.322Z,LOSS,-1,,,しんぴのしずく💧,55440337,16371945,,c16d3110b1c1a4ce,60,action,Dragapult ex,3,"Dragapult ex, Fezandipiti ex, Meowth ex",Dragapult ex,True,0,0,5,6,7,62,16,NA,NA,0,0,0,0,NA,NA,0.012472750000000001,0.0014364999999999998,0.177603,0.001982,0.001982
39,92104680,EPISODE_TYPE_PUBLIC,False,2026-08-11T21:38:06.582Z,2026-08-11T21:38:45.816Z,WIN,1,,,GuGu-Field Team,55440279,16686817,,0a8b48986e4b3bef,60,action,Fezandipiti ex,1,Fezandipiti ex,Fezandipiti ex,True,1,1,9,8,10,97,70,NA,NA,0,0,0,0,NA,NA,0.005430257142857143,0.0014035,0.195744,0.001942,0.087723
40,92108240,EPISODE_TYPE_PUBLIC,False,2026-08-11T21:54:06.690Z,2026-08-11T21:54:45.580Z,LOSS,-1,,,Le Trong Hieu,55441215,16553060,,fcac695071c3f3cf,60,action,Fezandipiti ex,1,Fezandipiti ex,Fezandipiti ex,True,1,1,11,12,13,167,87,NA,NA,0,0,0,0,NA,NA,0.004260045977011494,0.001273,0.175501,0.001857,0.080426
41,92108334,EPISODE_TYPE_PUBLIC,False,2026-08-11T21:54:06.922Z,2026-08-11T22:00:44.147Z,LOSS,-1,,,yuki0731,55427604,16593110,,dc2ce39b94cbbb38,60,action,Marnie's Grimmsnarl ex,3,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,True,0,0,11,12,13,166,88,NA,NA,0,0,0,0,NA,NA,0.0038627272727272725,0.0015990000000000002,0.191622,0.003045,0.00316
42,92113723,EPISODE_TYPE_PUBLIC,False,2026-08-11T22:18:38.477Z,2026-08-11T22:19:20.815Z,LOSS,-1,,,xnryxd,55441703,16655033,,dc2ce39b94cbbb38,60,action,Marnie's Grimmsnarl ex,3,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,False,0,1,16,17,18,254,126,NA,NA,0,0,0,0,NA,NA,0.0029055079365079366,0.0011394999999999999,0.125778,0.001633,0.002105
43,92121351,EPISODE_TYPE_PUBLIC,False,2026-08-11T22:51:11.500Z,2026-08-11T22:51:55.984Z,LOSS,-1,,,Sho,55434447,16474082,,f59e852fe5450580,60,action,Marnie's Grimmsnarl ex,3,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,True,0,0,9,10,11,157,75,NA,NA,0,0,0,0,NA,NA,0.005541013333333333,0.001544,0.203799,0.00218,0.096447
44,92142909,EPISODE_TYPE_PUBLIC,False,2026-08-12T00:23:09.859Z,2026-08-12T00:23:52.200Z,LOSS,-1,,,Toru59er,55444515,16391755,,2c6ba55420bbc8b2,60,action,UNLABELED,0,"Abra, Alakazam, Dudunsparce, Dunsparce, Kadabra","UNLABELED[Abra, Alakazam, Dudunsparce, Dunsparce, Kadabra]",True,0,0,11,12,13,143,86,NA,NA,0,0,0,0,NA,NA,0.0040934767441860465,0.0012835,0.156296,0.001787,0.084731
45,92150473,EPISODE_TYPE_PUBLIC,False,2026-08-12T00:55:12.303Z,2026-08-12T00:56:00.448Z,LOSS,-1,,,Toru59er,55444519,16391755,,c1d8285b32c06f81,60,action,UNLABELED,0,"Abra, Alakazam, Dudunsparce, Dunsparce, Kadabra","UNLABELED[Abra, Alakazam, Dudunsparce, Dunsparce, Kadabra]",True,0,0,11,12,13,164,90,NA,NA,0,0,0,0,NA,NA,0.003533011111111111,0.0015265,0.181828,0.00197,0.002229
46,92158945,EPISODE_TYPE_PUBLIC,False,2026-08-12T01:31:11.331Z,2026-08-12T01:32:10.583Z,WIN,1,,,【ＡＩと共に、ＡＩと戦う】tubotu,55444060,16372993,,6d3e4f8dfdc7aeaf,60,action,Team Rocket's Mewtwo ex,2,Team Rocket's Mewtwo ex,Team Rocket's Mewtwo ex,True,0,0,15,14,16,183,122,NA,NA,0,0,0,0,NA,NA,0.003848598360655738,0.0015035,0.193387,0.001918,0.00212
