window_id,scheme,train_weeks,test_weeks,train_games,test_total_games,n_candidates,strategy,selected_archetype,selection_time_expected_win_rate,selection_note,test_games,test_wins,test_win_rate,is_oracle
COARSE_A_early_to_middle,coarse_period,"1,2,3","4,5",998,1994,7,F_anti_meta,Marnie's Grimmsnarl ex,0.5,"argmax_EWR_vs_dominant_set([""Marnie's Grimmsnarl ex""])",371,182,0.4906,False
COARSE_A_early_to_middle,coarse_period,"1,2,3","4,5",998,1994,7,G_conservative_meta_aware,Mega Lucario ex,0.2889,argmax_conservative_EWR_wilson_lo_full_history_prior,27,15,0.5556,False
COARSE_A_early_to_middle,coarse_period,"1,2,3","4,5",998,1994,7,ORACLE_NOT_AVAILABLE_AT_DECISION_TIME,UNLABELED_CLUSTER_08,,ORACLE_NOT_AVAILABLE_AT_DECISION_TIME,27,20,0.7407,True
COARSE_B_earlymid_to_recent,coarse_period,"1,2,3,4,5","6,7,8",2992,3990,12,A_most_popular,Fezandipiti ex,0.2286,argmax_usage_share,671,318,0.4739,False
COARSE_B_earlymid_to_recent,coarse_period,"1,2,3,4,5","6,7,8",2992,3990,12,B_highest_historical_wr,Cynthia's Garchomp ex,0.5736,argmax_full_history_win_rate,167,82,0.491,False
COARSE_B_earlymid_to_recent,coarse_period,"1,2,3,4,5","6,7,8",2992,3990,12,C_recent_wr,Cynthia's Garchomp ex,0.6667,argmax_recent_window_win_rate,167,82,0.491,False
COARSE_B_earlymid_to_recent,coarse_period,"1,2,3,4,5","6,7,8",2992,3990,12,D_meta_aware_full_history,Team Rocket's Mewtwo ex,0.5811,argmax_EWR_full_history_prior_policy2_fallback,221,108,0.4887,False
COARSE_B_earlymid_to_recent,coarse_period,"1,2,3,4,5","6,7,8",2992,3990,12,D_policy1_neutral_variant,Team Rocket's Mewtwo ex,0.5515,argmax_EWR_full_history_prior_policy1_neutral,221,108,0.4887,False
COARSE_B_earlymid_to_recent,coarse_period,"1,2,3,4,5","6,7,8",2992,3990,12,E_recent_meta_aware,Team Rocket's Mewtwo ex,0.5983,argmax_EWR_recent_prior,221,108,0.4887,False
COARSE_B_earlymid_to_recent,coarse_period,"1,2,3,4,5","6,7,8",2992,3990,12,F_anti_meta,Team Rocket's Mewtwo ex,0.6542,"argmax_EWR_vs_dominant_set(['Fezandipiti ex', ""Marnie's Grimmsnarl ex""])",221,108,0.4887,False
COARSE_B_earlymid_to_recent,coarse_period,"1,2,3,4,5","6,7,8",2992,3990,12,G_conservative_meta_aware,Cynthia's Garchomp ex,0.3445,argmax_conservative_EWR_wilson_lo_full_history_prior,167,82,0.491,False
COARSE_B_earlymid_to_recent,coarse_period,"1,2,3,4,5","6,7,8",2992,3990,12,ORACLE_NOT_AVAILABLE_AT_DECISION_TIME,Mega Lucario ex,,ORACLE_NOT_AVAILABLE_AT_DECISION_TIME,60,37,0.6167,True
